도서관명,시도명,시군구명,도서관유형,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),소재지도로명주소,부지면적,건물면적
색동고리 마을도서관,대구광역시,서구,작은도서관,18,3787,0,0,대구광역시 서구 통학로 195,,60
구암도서관,대전광역시,유성구,공공도서관,92,57670,47,243,대전광역시 유성구 유성대로626번길 57(구암동),2486,582
노은도서관,대전광역시,유성구,공공도서관,212,96578,53,2199,대전광역시 유성구 원신흥남로 59 (원신흥동),7523,3355
원신흥도서관,대전광역시,유성구,공공도서관,98,50347,51,0,대전광역시 유성구 노은동로 234번길35(지족동),4782,3717
봉림평생교육센터,경상남도,창원시,작은도서관,30,7278,14,265,경상남도 창원시 의창구 대봉로26번길 5,3681,628
사림평생교육센터,경상남도,창원시,작은도서관,45,16400,27,201,경상남도 창원시 의창구 사림로16번길37,665,294
신월평생교육센터,경상남도,창원시,작은도서관,30,15111,140,0,경상남도 창원시 의창구 신월로48,,
용지평생교육센터,경상남도,창원시,작은도서관,50,17527,8,1000,경상남도 창원시 의창구 용지로239번길 19-4,,
반지평생교육센터,경상남도,창원시,작은도서관,20,18879,32,192,경상남도 창원시 성산구 반지로 15번길 16,1167,684
내동평생교육센터,경상남도,창원시,작은도서관,20,17086,4,95,경상남도 창원시 성산구 연덕로 184번길35,,350
중앙평생교육센터,경상남도,창원시,작은도서관,15,15308,4,44,경상남도 창원시 성산구 원이대로580번길 34,466,157
상남평생교육센터,경상남도,창원시,작은도서관,12,14122,6,64,경상남도 창원시 성산구 동산로 115,136,136
대방평생교육센터,경상남도,창원시,작은도서관,26,16155,6,147,경상남도 창원시 성산구 대정로 142,,
사파평생교육센터,경상남도,창원시,작은도서관,27,16758,5,423,경상남도 창원시 성산구 창이대로 706번길 16-23,,
가음정평생교육센터,경상남도,창원시,작은도서관,51,20834,27,323,"경상남도 창원시 성산구 원이대로 883번길 15-38(가음동,가음정민원센터 2층)",683,355
남산평생교육센터,경상남도,창원시,작은도서관,20,19528,2,179,경상남도 창원시 성산구 가음로 92번길 6(가음동),840,358
남양평생교육센터,경상남도,창원시,작은도서관,36,15591,27,0,경상남도 창원시 성산구 대정로84,1448,199
성주평생교육센터,경상남도,창원시,작은도서관,36,21982,8,72,경상남도 창원시 성산구 공단로 735(성주동),,
웅남평생교육센터,경상남도,창원시,작은도서관,25,21186,9,107,경상남도 창원시 성산구 신촌로 50,,150
용잠마을도서관,경상남도,창원시,작은도서관,20,18150,1,0,경상남도 창원시 의창구 동읍 용잠로 41,,227
자여마을도서관,경상남도,창원시,작은도서관,36,18399,3,80,경상남도 창원시 의창구 동읍 자여로 64,,77
반딧불이도서관,경상남도,창원시,작은도서관,30,15543,0,0,경상남도 창원시 의창구 북면 천주로 1085,,132.2
봉림작은도서관,경상남도,창원시,작은도서관,27,14645,10,16,경상남도 창원시 의창구 창이대로259번길 19(봉곡동),,118.8
용지호수어울림도서관,경상남도,창원시,작은도서관,20,4391,3,25,경상남도 창원시 성산구 용지로211번길 21(용지동),,41
반림작은도서관,경상남도,창원시,작은도서관,44,18302,5,969,"경상남도 창원시 성산구 반송로 105(반림동, 럭키A’)",,138.6
늘푸른도서관,경상남도,창원시,작은도서관,21,17463,13,0,경상남도 창원시 성산구 외동반림로134번길 15(중앙동),,165
대동디지털마을도서관,경상남도,창원시,작은도서관,43,14558,4,0,"경상남도 창원시 성산구 창이대로881번길 8(대방동, 대동디지털A’)",,229.81
송안작은도서관,경기도,군포시,작은도서관,40,4919,0,0,경기도 군포시 송부로49번길 16,,125.7
송정작은도서관,경기도,군포시,작은도서관,74,3569,21,0,경기도 군포시 송부로49번길 15,,192.17
숲속작은도서관,경기도,군포시,작은도서관,25,5734,2,0,경기도 군포시 삼성로59번길16,,57
영어가족도서관,경기도,군포시,작은도서관,72,10835,0,0,경기도 군포시 번영로200번길 72,,298
우리마을작은도서관,경기도,군포시,작은도서관,80,8406,3,14,경기도 군포시 곡란로8번길 35-10,,253
율곡마을작은도서관,경기도,군포시,작은도서관,12,6231,0,10,경기도 군포시 오금로43,,33
새빛작은도서관,서울특별시,광진구,작은도서관,30,9250,0,0,"서울특별시 광진구 아차산로 330 (자양동, 새빛지역아동센터)",,
유성도서관,대전광역시,유성구,공공도서관,186,126201,48,3989,대전광역시 유성구 대덕대로 507-38(가정동),29063,2466
진잠도서관,대전광역시,유성구,공공도서관,117,84232,56,2050,대전광역시 유성구 진잠로160번길 19(원내동),1913,2591
구즉도서관,대전광역시,유성구,공공도서관,36,98884,50,2936,대전광역시 유성구 와룡로37번길 20(송강동),2967,1496
아가랑도서관,대전광역시,유성구,공공도서관,0,19050,25,0,대전광역시 유성구 반석로 78(반석동),602,995
관평도서관,대전광역시,유성구,공공도서관,68,38982,48,216,대전광역시 유성구 테크노 4로 131(관평동),809,1756
전민복합문화센터,대전광역시,유성구,공공도서관,40,30662,49,0,대전광역시 유성구 문지로299번길 18(문지동),711.3,2790.65
용산도서관,대전광역시,유성구,공공도서관,0,13916,27,0,대전광역시 유성구 반석로 78(반석동),999.31,1914.59
문학마을작은도서관,대전광역시,유성구,작은도서관,60,11086,0,0,대전광역시 유성구 어은로 22(어은동,,263
별똥별과학도서관,대전광역시,유성구,작은도서관,25,16134,0,0,대전광역시 유성구 죽동로 322(죽동),,533
어린이영어마을도서관,대전광역시,유성구,작은도서관,60,22728,0,0,대전광역시 유성구 지족동로 145(지족동),2594,234
송강마을작은도서관,대전광역시,유성구,작은도서관,40,18955,0,0,대전광역시 유성구 송강로 42번길 34(송강동),19703,166
사파동성마을작은도서관,경상남도,창원시,작은도서관,32,17231,54,178,"경상남도 창원시 성산구 창이대로 737(사파동, 사파동성A’)",,96
안민마을도서관,경상남도,창원시,작은도서관,36,14564,7,0,경상남도 창원시 성산구 안민안길 34(안민동),,131
안민청솔마을도서관,경상남도,창원시,작은도서관,138,15317,4,0,경상남도 창원시 성산구 안민로117번길 17(안민동),,170.05
반월작은도서관,경상남도,창원시,작은도서관,30,15541,0,0,경상남도 창원시 마산합포구 3·15대로 121(중앙동1가),,204.95
부림희망작은도서관,경상남도,창원시,작은도서관,25,10411,5,33,경상남도 창원시 마산합포구 3·15대로 351(부림동),,84
무학산블루밍작은도서관,경상남도,창원시,작은도서관,40,10427,0,159,"경상남도 창원시 마산합포구 노산서18길 142(교방동, 벽산블루밍A’) 2단지",,175
현동작은도서관,경상남도,창원시,작은도서관,26,8971,0,0,경상남도 창원시 마산합포구 현동7길 27(현동),,106.08
꿈꾸는산호작은도서관,경상남도,창원시,작은도서관,29,7489,2,0,경상남도 창원시 마산합포구 용마로 30(여성회관 마산관 1층),,89
고운작은도서관,경상남도,창원시,작은도서관,30,6515,8,0,경상남도 창원시 마산합포구 월영마을로 3(월영동),,97.44
신추산작은도서관,경상남도,창원시,작은도서관,21,3264,3,0,경상남도 창원시 마산합포구 문신길 169(오동동),,178.36
상곡어울림작은도서관,경상남도,창원시,작은도서관,50,14032,22,93,경상남도 창원시 마산회원구 내서읍 상곡로 16,,188
합성가고파작은도서관,경상남도,창원시,작은도서관,30,12271,0,180,경상남도 창원시 마산회원구 합성서3길 21(합성동),,114
봉암동작은도서관,경상남도,창원시,작은도서관,20,10206,1,31,경상남도 창원시 마산회원구 봉암북2길 31(봉암동),,105.38
여좌작은도서관,경상남도,창원시,작은도서관,36,4348,0,0,경상남도 창원시 진해구 여좌천로 64-1(여좌동),,150
안성시 중앙도서관,경기도,안성시,공공도서관,206,462952,6083,7337,경기도 안성시 안성맞춤대로 1150,6800,6249
안성시 공도도서관,경기도,안성시,공공도서관,135,177491,3618,1677,경기도 안성시 공도읍 공도5로 26,1085,4021
안성시 보개도서관,경기도,안성시,공공도서관,216,94063,2334,2103,경기도 안성시 보개면 종합운동장로 205,18098,1769
안성시 진사도서관,경기도,안성시,공공도서관,125,100933,2301,1410,경기도 안성시 공도읍 진사2길 70,7240,1526
안성시 일죽도서관,경기도,안성시,공공도서관,50,35427,1763,905,경기도 안성시 일죽면 금일로 433,3188,1271
민주작은도서관,광주광역시,동구,작은도서관,20,5058,5,2,광주광역시 동구 동명로26번길 15-3(동명동),,44
푸른길두산위브작은도서관,광주광역시,동구,작은도서관,30,1698,0,0,"광주광역시 동구 계림로30번길 15(계림동, 푸른길 두산위브)",,114.57
꽃대여행작은도서관,광주광역시,동구,작은도서관,30,5000,0,0,광주광역시 동구 천변우로 447,,115
장항농어촌공공도서관,충청남도,서천군,공공도서관,156,76295,73,210,충청남도 서천군 장항읍 장마로 74번길 8,2290,1448
증평군립도서관,충청북도,증평군,공공도서관,651,87067,66,7298,충청북도 증평군 증평읍 광장로 37,3020,2917
지혜샘어린이문고,전라남도,화순군,작은도서관,10,1500,0,0,전라남도 화순군 화순읍 중앙로 133(시온교회),,38
늘푸른작은도서관,전라남도,화순군,작은도서관,36,6370,2,0,전라남도 화순군 능주면 학포로 2235-3(늘푸른교회),,66
화순중앙도서관,전라남도,화순군,작은도서관,28,3226,5,0,전라남도 화순군 화순읍 매화동길 24-1(중앙교회),,41
전라남도교육청영광도서관,전라남도,영광군,공공도서관,510,101502,42,9693,전라남도 영광군 영광읍 천년로 13길2-16,3073,2591
전라남도교육청진도도서관,전라남도,진도군,공공도서관,450,93429,44,7163,전라남도 진도군 진도읍 철마길12,2921,2265
전라남도교육청학생교육문화회관,전라남도,여수시,공공도서관,2640,148703,88,19751,전라남도 여수시 대통1길 55,29999,8936
전라남도교육청순천만생태문화교육원 생태인문도서관,전라남도,순천시,공공도서관,4137,37185,30,0,전라남도 순천시 생태배움길22,27055,19007
전라남도교육청목포도서관,전라남도,목포시,공공도서관,1600,251146,114,23745,전라남도 목포시 원산주택로3번길 6,4721,5875
전라남도교육청나주도서관,전라남도,나주시,공공도서관,1300,290222,79,44713,전라남도 나주시 남고문로 51,6631,6225
전라남도교육청광양평생교육관,전라남도,광양시,공공도서관,970,67543,72,4139,전라남도 광양시 안산길 23,9185,3863
전라남도교육청고흥평생교육관,전라남도,고흥군,공공도서관,960,98600,42,4445,전라남도 고흥군 고흥읍 고흥로 1647-13,9075,3757
나무늘보 작은도서관,전라남도,무안군,작은도서관,30,7000,3,0,전라남도 무안군 무안읍 성남2길 48,90.5,90.5
일로도서관,전라남도,무안군,작은도서관,40,5000,0,0,전라남도 무안군 일로읍 일로로 90-2 (목포무안신안축협 일로지점 2층),70,70
물바위학교 작은도서관,전라남도,무안군,작은도서관,60,3700,0,60,전라남도 무안군 현경면 가입안길 23-4,545,545
센트웰 작은도서관,전라남도,무안군,작은도서관,56,2246,0,0,전라남도 무안군 삼향읍 남악로 250번길 60 108동1층 (남악센트레빌리버파크),72.4,72.4
책속의길 작은도서관,전라남도,무안군,작은도서관,30,3600,0,0,전라남도 무안군 삼향읍 남악5로60번길 31-8,99.72,99.72
호반써밋2차 작은도서관,전라남도,무안군,작은도서관,12,1135,0,0,전라남도 무안군 일로읍 오룡번영로 153 (호반써밋2차 아파트),41.61,41.61
서귀포시서부도서관,제주특별자치도,서귀포시,공공도서관,247,68697,36,4234,제주특별자치도 서귀포시 중문관광로 346,7927,1300
서귀포기적의도서관,제주특별자치도,서귀포시,공공도서관,80,38110,24,3712,제주특별자치도 서귀포시 일주동로 8593,16190,911
성산일출도서관,제주특별자치도,서귀포시,공공도서관,167,71771,28,8042,제주특별자치도 서귀포시 성산읍 고성오조로 133,7007,2115
안덕산방도서관,제주특별자치도,서귀포시,공공도서관,150,64182,28,4356,제주특별자치도 서귀포시 안덕면 화순서서로 44,3306,1838
푸르지오작은도서관,울산광역시,동구,작은도서관,14,5068,0,0,울산광역시 동구 봉수로 270,,4941
휴(休)Book사랑방작은도서관,울산광역시,동구,작은도서관,18,4147,0,0,울산광역시 동구 등대4길 25,,10842
금호1가동우리동네북카페책단지꿀단지,서울특별시,성동구,공공도서관,28,4284,1,0,서울특별시 성동구 행당로 15 (금호동1가),71,71
"금호2,3가동어린이작은도서관",서울특별시,성동구,공공도서관,15,8793,1,0,서울특별시 성동구 금호동2가 무수막18길 1,77,77
금호4가동어린이작은도서관,서울특별시,성동구,공공도서관,20,8629,1,0,서울특별시 성동구 금호동4가 독서당로46길 26 금호4가동주민센터,134,134
마장동작은도서관,서울특별시,성동구,공공도서관,20,4989,1,0,서울특별시 성동구 마장동 마장로42길 11 마장동주민센터,46,46
사근동어린이놀이터도서관,서울특별시,성동구,공공도서관,20,4963,1,0,서울특별시 성동구 사근동 사근동길 37 사근동공공복합청사,51.8,51.8
중원교육도서관,충청북도,충주시,공공도서관,105,39108,30,1330,충청북도 충주시 주덕읍 창전길 221,1024,390
경상북도교육청 구미도서관,경상북도,구미시,공공도서관,590,236528,307,7204,경상북도 구미시 산책길 41 (원평동),6470,4722
고운작은도서관,경상남도,함양군,작은도서관,10,2500,5,20,경상남도 함양군 휴천면 문하길 30-3,,
